Gene name, Transcript overall charge
YEL052W, 3
YEL051W, 1
YEL050C, 1
YEL049W, 1
YEL048C, -2
YEL046C, -1
YEL044W, 1
YEL043W, 0
YEL042W, 2
YEL041W, 0
YEL040W, 0
YEL039C, 3
YEL038W, -3
YEL037C, 3
YEL036C, 3
YEL034W, -4
YEL032W, -3
YEL031W, 2
YEL030W, 4
YEL029C, 3
YEL028W, 1
YEL027W, -1
YEL026W, 0
YEL024W, 3
YEL023C, 3
YEL022W, -2
YEL021W, 3
YEL020W-A, -1
YEL019C, 1
YEL018W, -1
YEL017C-A, 0
YEL017W, 3
YEL016C, -3
YEL015W, -1
YEL013W, -2
YEL012W, 2
YEL011W, -2
YEL009C, -1
YEL008W, 4
YEL006W, 0
YEL005C, 3
YEL004W, 1
YEL003W, 0
YEL002C, 0
YEL001C, 1
YER001W, 4
YER002W, 5
YER003C, 1
YER004W, 0
YER005W, -2
YER006W, 7
YER007W, 0
YER007C-A, 4
YER008C, 7
YER009W, -1
YER010C, 0
YER011W, 1
YER012W, -1
YER014W, 4
YER015W, -4
YER016W, -1
YER017C, 3
YER018C, -2
YER019W, 1
YER019C-A, 2
YER020W, -1
YER021W, -2
YER022W, -3
YER023W, 0
YER025W, -3
YER026C, -4
YER027C, -3
YER028C, 0
YER029C, 3
YER030W, -1
YER031C, -3
YER032W, 2
YER034W, 3
YER035W, 3
YER036C, 4
YER037W, 2
YER038C, -3
YER038W-A, 2
YER039C, 1
YER039C-A, 2
YER040W, -3
YER041W, 0
YER042W, 2
YER043C, 0
YER044C, 0
YER045C, 0
YER046W, 1
YER048C, -1
YER048W-A, 2
YER049W, 3
YER050C, 3
YER051W, 0
YER052C, 0
YER053C, 3
YER053C-A, -2
YER054C, 2
YER055C, 0
YER056C, -5
YER056C-A, 4
YER057C, -1
YER058W, 2
YER059W, 0
YER060W, 0
YER060W-A, -1
YER061C, 2
YER062C, 2
YER063W, -1
YER064C, -2
YER065C, 0
YER066W, 2
YER067W, 3
YER068W, 1
YER069W, 2
YER070W, 2
YER071C, -1
YER072W, 3
YER073W, 3
YER074W, 2
YER074W-A, 1
YER076C, 0
YER077C, 3
YER078C, 3
YER078W-A, 3
YER079W, 0
YER080W, 4
YER081W, -1
YER082C, 7
YER083C, 0
YER085C, 1
YER086W, 2
YER087W, 5
YER087C-B, 2
YER088C, 1
YER089C, 0
YER090W, 0
YER091C, 1
YER092W, -1
YER093C-A, 3
YER094C, -1
YER095W, -1
YER096W, -1
YER098W, 6
YER099C, 2
YER100W, 5
YER101C, -1
YER102W, 4
YER103W, 0
YER104W, -2
YER105C, 1
YER107C, 1
YER110C, -1
YER112W, 1
YER113C, 4
YER114C, -1
YER115C, 0
YER116C, -1
YER117W, 2
YER118C, 4
YER119C, 2
YER120W, -1
YER121W, 2
YER122C, -4
YER123W, 3
YER124C, 0
YER125W, 0
YER126C, 2
YER127W, -1
YER128W, 1
YER130C, -1
YER131W, 7
YER133W, -3
YER134C, -3
YER135C, 4
YER136W, -5
YER137C, -1
YER139C, -2
YER140W, 3
YER141W, 2
YER142C, 0
YER143W, -3
YER144C, -2
YER145C, 1
YER146W, -2
YER147C, 0
YER148W, -1
YER149C, 2
YER150W, 1
YER151C, -2
YER152C, 3
YER154W, 3
YER156C, 5
YER157W, 3
YER158C, 3
YER159C, 0
YER161C, 3
YER162C, -1
YER163C, -1
YER165W, -3
YER167W, 5
YER168C, 1
YER169W, 0
YER170W, 3
YER171W, -1
YER173W, 1
YER174C, -1
YER175C, -1
YER175W-A, 5
YER176W, -2
YER177W, 0
YER178W, 3
YER179W, -2
YER180C, -2
YER180C-A, 0
YER181C, 0
YER182W, 3
YER183C, 5
YER184C, 5
YER185W, 0
YER186C, 1
YER187W, -2
YER188W, 1
YFL062W, -1
YFL055W, -2
YFL054C, -1
YFL052W, 3
YFL049W, -3
YFL048C, 1
YFL047W, -3
YFL046W, 5
YFL045C, -1
YFL044C, 2
YFL042C, -6
YFL041W-A, 1
YFL041W, 0
YFL039C, -3
YFL038C, -1
YFL037W, 1
YFL034C-B, 4
YFL034C-A, 4
YFL034W, -3
YFL031W, -3
YFL030W, 0
YFL029C, 1
YFL028C, 1
YFL027C, 2
YFL026W, -2
YFL024C, -1
YFL023W, -1
YFL022C, -2
YFL021W, 2
YFL020C, 1
YFL018C, 4
YFL017W-A, 2
YFL017C, -1
YFL016C, 1
YFL014W, 0
YFL013C, 1
YFL012W, 4
YFL010C, 1
YFL009W, -1
YFL008W, 1
YFL005W, 2
YFL004W, 0
YFL002C, -1
YFL001W, 4
YFR001W, 5
YFR002W, 2
YFR003C, -1
YFR004W, 2
YFR005C, 0
YFR006W, -1
YFR007W, -1
YFR008W, -1
YFR009W, 2
YFR010W, 1
YFR011C, 1
YFR012W-A, 6
YFR013W, -2
YFR014C, -1
YFR015C, 0
YFR016C, -2
YFR017C, 0
YFR018C, 2
YFR020W, 1
YFR021W, -1
YFR022W, 4
YFR024C-A, 1
YFR025C, 4
YFR026C, 0
YFR027W, 6
YFR028C, 1
YFR029W, 4
YFR030W, -1
YFR031C-A, 4
YFR032C, -3
YFR032C-A, 6
YFR033C, -2
YFR034C, -1
YFR036W, 1
YFR037C, -3
YFR038W, -1
YFR039C, 2
YFR040W, 1
YFR041C, 1
YFR042W, 3
YFR043C, 0
YFR044C, 1
YFR045W, 0
YFR046C, 0
YFR047C, 1
YFR048W, 1
YFR049W, 1
YFR050C, 0
YFR051C, 2
YFR052W, 0
YFR053C, 5
YFR054C, 0
YFR055W, 0
YGL263W, -1
YGL258W, 0
YGL257C, 4
YGL256W, 0
YGL255W, 0
YGL254W, 3
YGL253W, 5
YGL252C, -4
YGL250W, -4
YGL248W, -1
YGL247W, 0
YGL246C, 2
