Gene name, Transcript overall mass
YBR223C, 1463
YBR227C, 1507
YBR228W, 1550
YBR229C, 1524
YBR230C, 1311
YBR230W-A, 1633
YBR231C, 1449
YBR233W, 1374
YBR233W-A, 1504
YBR234C, 1408
YBR235W, 1477
YBR236C, 1526
YBR237W, 1471
YBR238C, 1479
YBR239C, 1495
YBR241C, 1427
YBR242W, 1376
YBR243C, 1456
YBR244W, 1516
YBR246W, 1429
YBR247C, 1385
YBR248C, 1403
YBR249C, 1320
YBR251W, 1531
YBR252W, 1385
YBR253W, 1504
YBR254C, 1474
YBR255W, 1499
YBR255C-A, 1394
YBR256C, 1367
YBR257W, 1536
YBR258C, 1533
YBR259W, 1489
YBR260C, 1341
YBR261C, 1454
YBR262C, 1337
YBR263W, 1373
YBR264C, 1352
YBR265W, 1501
YBR267W, 1314
YBR268W, 1471
YBR269C, 1421
YBR270C, 1441
YBR271W, 1505
YBR272C, 1522
YBR273C, 1488
YBR274W, 1374
YBR276C, 1321
YBR278W, 1394
YBR279W, 1486
YBR280C, 1499
YBR281C, 1414
YBR282W, 1388
YBR283C, 1457
YBR285W, 1592
YBR286W, 1423
YBR287W, 1431
YBR288C, 1560
YBR289W, 1368
YBR290W, 1465
YBR291C, 1347
YBR296C, 1534
YBR297W, 1488
YBR298C, 1425
YBR299W, 1435
YCL064C, 1457
YCL063W, 1400
YCL059C, 1549
YCL058W-A, 1375
YCL057C-A, 1397
YCL057W, 1573
YCL056C, 1386
YCL055W, 1508
YCL054W, 1385
YCL052C, 1553
YCL051W, 1484
YCL050C, 1309
YCL049C, 1412
YCL047C, 1608
YCL045C, 1464
YCL044C, 1286
YCL043C, 1375
YCL040W, 1472
YCL039W, 1455
YCL038C, 1453
YCL037C, 1216
YCL036W, 1514
YCL035C, 1478
YCL034W, 1391
YCL033C, 1589
YCL032W, 1370
YCL031C, 1387
YCL030C, 1417
YCL029C, 1595
YCL028W, 1430
YCL027W, 1376
YCL026C-B, 1376
YCL026C-A, 1359
YCL025C, 1451
YCL021W-A, 1442
YCL018W, 1361
YCL017C, 1387
YCL016C, 1440
YCL012C, 1547
YCL011C, 1493
YCL010C, 1436
YCL009C, 1476
YCL008C, 1311
YCL005W-A, 1415
YCL005W, 1505
YCL004W, 1508
YCL002C, 1292
YCL001W, 1414
YCR002C, 1310
YCR003W, 1400
YCR004C, 1418
YCR005C, 1487
YCR006C, 1606
YCR007C, 1462
YCR008W, 1330
YCR009C, 1489
YCR010C, 1376
YCR011C, 1611
YCR012W, 1373
YCR015C, 1490
YCR016W, 1533
YCR017C, 1403
YCR019W, 1493
YCR020C, 1446
YCR020C-A, 1430
YCR020W-B, 1405
YCR021C, 1476
YCR022C, 1508
YCR023C, 1558
YCR024C, 1434
YCR024C-B, 1485
YCR024C-A, 1325
YCR025C, 1452
YCR026C, 1485
YCR027C, 1386
YCR028C, 1498
YCR028C-A, 1632
YCR030C, 1508
YCR031C, 1399
YCR034W, 1373
YCR035C, 1403
YCR036W, 1346
YCR037C, 1592
YCR043C, 1319
YCR044C, 1392
YCR046C, 1497
YCR047C, 1434
YCR048W, 1501
YCR051W, 1370
YCR052W, 1365
YCR053W, 1432
YCR054C, 1550
YCR057C, 1508
YCR059C, 1538
YCR060W, 1518
YCR061W, 1490
YCR063W, 1548
YCR065W, 1416
YCR066W, 1444
YCR067C, 1293
YCR068W, 1565
YCR069W, 1561
YCR071C, 1382
YCR072C, 1377
YCR073W-A, 1434
YCR075C, 1353
YCR075W-A, 1414
YCR076C, 1453
YCR077C, 1381
YCR079W, 1468
YCR082W, 1348
YCR083W, 1565
YCR084C, 1359
YCR086W, 1445
YCR087C-A, 1453
YCR088W, 1469
YCR090C, 1424
YCR091W, 1533
YCR092C, 1433
YCR094W, 1412
YCR095C, 1308
YCR095W-A, 1435
YCR097W, 1420
YCR098C, 1459
YCR099C, 1620
YCR102C, 1339
YCR106W, 1466
YDL243C, 1450
YDL241W, 1458
YDL240W, 1418
YDL238C, 1523
YDL237W, 1340
YDL236W, 1364
YDL235C, 1469
YDL234C, 1462
YDL233W, 1418
YDL232W, 1399
YDL230W, 1541
YDL229W, 1258
YDL227C, 1402
YDL226C, 1528
YDL225W, 1310
YDL224C, 1449
YDL222C, 1558
YDL220C, 1439
YDL219W, 1423
YDL218W, 1443
YDL217C, 1436
YDL216C, 1428
YDL215C, 1457
YDL213C, 1444
YDL212W, 1435
YDL211C, 1447
YDL209C, 1487
YDL208W, 1481
YDL207W, 1569
YDL206W, 1586
YDL205C, 1346
YDL204W, 1443
YDL203C, 1404
YDL202W, 1556
YDL201W, 1350
YDL200C, 1628
YDL199C, 1453
YDL198C, 1420
YDL197C, 1392
YDL195W, 1431
YDL193W, 1456
YDL192W, 1393
YDL191W, 1417
YDL190C, 1426
YDL189W, 1442
YDL188C, 1469
YDL186W, 1389
YDL185W, 1368
YDL184C, 1695
YDL183C, 1440
YDL182W, 1313
YDL181W, 1393
YDL180W, 1487
YDL179W, 1494
YDL178W, 1438
YDL177C, 1395
YDL176W, 1359
YDL175C, 1429
YDL174C, 1599
YDL170W, 1501
YDL169C, 1533
YDL168W, 1281
YDL167C, 1480
YDL166C, 1498
YDL165W, 1411
YDL164C, 1441
YDL161W, 1474
YDL160C-A, 1437
YDL160C, 1404
YDL159W, 1656
YDL157C, 1381
YDL156W, 1585
YDL155W, 1363
YDL153C, 1456
YDL150W, 1339
YDL149W, 1560
YDL148C, 1339
YDL147W, 1410
YDL146W, 1420
YDL145C, 1508
YDL144C, 1252
YDL143W, 1331
YDL142C, 1450
YDL141W, 1343
YDL139C, 1568
YDL138W, 1543
YDL137W, 1409
YDL136W, 1417
YDL135C, 1470
YDL134C, 1458
YDL133C-A, 1695
YDL133W, 1367
YDL131W, 1464
YDL130W-A, 1542
YDL130W, 1367
YDL129W, 1484
YDL128W, 1311
YDL127W, 1508
YDL126C, 1418
YDL125C, 1413
YDL124W, 1578
YDL123W, 1393
YDL122W, 1475
YDL121C, 1538
YDL120W, 1452
YDL119C, 1441
YDL117W, 1351
YDL116W, 1533
YDL115C, 1317
YDL113C, 1414
YDL112W, 1346
YDL111C, 1406
YDL110C, 1339
YDL108W, 1579
YDL107W, 1508
YDL106C, 1629
YDL105W, 1499
YDL104C, 1401
YDL103C, 1475
YDL101C, 1411
YDL100C, 1434
YDL099W, 1516
YDL098C, 1604
YDL097C, 1340
YDL095W, 1578
YDL093W, 1502
YDL092W, 1200
YDL091C, 1530
YDL090C, 1508
YDL089W, 1405
YDL088C, 1345
YDL087C, 1332
YDL086W, 1512
YDL085C-A, 1466
YDL085W, 1411
YDL084W, 1467
YDL083C, 1302
YDL082W, 1406
YDL081C, 1309
YDL080C, 1512
YDL079C, 1496
YDL078C, 1224
YDL076C, 1412
YDL075W, 1397
YDL074C, 1396
YDL073W, 1451
YDL072C, 1499
YDL070W, 1498
YDL069C, 1445
YDL067C, 1324
YDL066W, 1507
YDL065C, 1584
YDL064W, 1486
YDL063C, 1442
YDL061C, 1533
YDL059C, 1341
YDL057W, 1519
YDL056W, 1498
YDL055C, 1286
YDL054C, 1482
YDL053C, 1279
YDL052C, 1540
YDL051W, 1541
YDL049C, 1491
YDL048C, 1307
YDL047W, 1497
YDL046W, 1410
YDL045W-A, 1423
YDL045C, 1453
YDL044C, 1444
YDL043C, 1404
YDL042C, 1456
YDL040C, 1494
YDL036C, 1640
YDL035C, 1411
YDL033C, 1498
YDL031W, 1480
YDL030W, 1524
YDL029W, 1457
YDL028C, 1494
YDL027C, 1383
YDL025C, 1394
YDL024C, 1412
YDL022W, 1341
YDL021W, 1318
YDL020C, 1415
YDL019C, 1444
YDL018C, 1527
YDL017W, 1444
YDL015C, 1396
YDL014W, 1317
YDL013W, 1412
YDL012C, 1385
YDL010W, 1478
YDL008W, 1462
YDL007W, 1272
YDL006W, 1491
YDL005C, 1325
YDL004W, 1341
YDL003W, 1466
YDL002C, 1583
YDL001W, 1484
YDR001C, 1326
YDR002W, 1413
YDR003W, 1569
YDR003W-A, 1411
YDR005C, 1587
YDR006C, 1405
YDR007W, 1278
YDR009W, 1385
YDR010C, 1543
YDR011W, 1376
YDR012W, 1433
YDR013W, 1401
YDR014W-A, 1531
YDR016C, 1421
YDR018C, 1632
YDR019C, 1541
YDR020C, 1553
YDR021W, 1576
YDR022C, 1462
YDR023W, 1544
YDR025W, 1459
YDR026C, 1374
YDR027C, 1409
YDR028C, 1367
YDR030C, 1503
YDR031W, 1455
YDR032C, 1468
YDR033W, 1461
YDR034C, 1463
YDR034W-B, 1600
YDR035W, 1482
YDR036C, 1469
YDR037W, 1341
YDR041W, 1500
YDR042C, 1545
YDR043C, 1604
YDR044W, 1414
YDR045C, 1425
YDR046C, 1374
YDR047W, 1382
YDR049W, 1361
YDR050C, 1425
YDR051C, 1470
YDR052C, 1441
YDR054C, 1333
YDR055W, 1350
YDR056C, 1517
YDR057W, 1387
YDR058C, 1454
YDR059C, 1428
YDR060W, 1382
YDR061W, 1474
YDR062W, 1415
YDR063W, 1435
YDR064W, 1323
YDR065W, 1408
YDR066C, 1502
YDR067C, 1416
YDR068W, 1574
YDR069C, 1498
YDR070C, 1570
YDR071C, 1309
YDR072C, 1406
YDR073W, 1395
YDR074W, 1372
YDR075W, 1428
YDR076W, 1350
YDR077W, 1298
YDR078C, 1491
YDR079W, 1587
YDR079C-A, 1379
YDR080W, 1440
YDR081C, 1547
YDR082W, 1507
YDR083W, 1445
YDR084C, 1551
YDR085C, 1407
YDR086C, 1414
YDR087C, 1462
YDR088C, 1541
YDR089W, 1559
YDR090C, 1284
YDR091C, 1412
YDR092W, 1464
YDR096W, 1408
YDR097C, 1311
YDR098C, 1494
YDR099W, 1507
YDR100W, 1485
YDR101C, 1394
YDR103W, 1416
YDR104C, 1414
YDR105C, 1283
YDR106W, 1388
YDR107C, 1560
YDR108W, 1612
YDR109C, 1599
YDR110W, 1562
YDR111C, 1468
YDR113C, 1471
YDR115W, 1482
YDR116C, 1352
YDR117C, 1520
YDR119W, 1566
YDR119W-A, 1451
YDR120C, 1572
YDR121W, 1492
YDR123C, 1340
YDR124W, 1540
YDR126W, 1527
YDR127W, 1347
YDR129C, 1552
YDR130C, 1527
YDR131C, 1609
YDR132C, 1286
YDR135C, 1358
YDR137W, 1551
YDR138W, 1444
YDR139C, 1396
YDR140W, 1508
YDR142C, 1505
YDR143C, 1401
YDR144C, 1430
YDR145W, 1314
YDR146C, 1439
YDR147W, 1460
YDR148C, 1327
YDR151C, 1465
YDR152W, 1619
YDR153C, 1455
YDR155C, 1482
YDR156W, 1430
YDR158W, 1223
YDR161W, 1427
YDR162C, 1435
YDR163W, 1449
YDR164C, 1560
YDR165W, 1443
YDR166C, 1530
YDR167W, 1589
YDR168W, 1548
YDR169C, 1424
YDR171W, 1514
YDR172W, 1401
YDR173C, 1532
YDR174W, 1385
YDR175C, 1436
YDR176W, 1483
YDR177W, 1541
YDR178W, 1551
YDR179C, 1515
YDR179W-A, 1419
YDR180W, 1428
YDR181C, 1417
YDR182W, 1531
YDR182W-A, 1735
YDR183W, 1626
YDR184C, 1414
YDR185C, 1588
YDR186C, 1201
YDR188W, 1422
YDR189W, 1427
YDR190C, 1395
YDR191W, 1480
YDR192C, 1294
YDR194C, 1411
YDR195W, 1347
YDR196C, 1209
YDR197W, 1418
YDR198C, 1469
YDR200C, 1589
YDR201W, 1356
YDR202C, 1519
YDR204W, 1439
YDR205W, 1434
YDR207C, 1479
YDR208W, 1379
YDR210W, 1496
YDR211W, 1298
YDR212W, 1477
YDR213W, 1449
YDR214W, 1589
YDR215C, 1479
YDR219C, 1422
YDR221W, 1479
YDR222W, 1463
YDR223W, 1310
YDR224C, 1326
YDR225W, 1115
YDR226W, 1418
YDR227W, 1452
YDR228C, 1480
YDR229W, 1425
YDR231C, 1699
YDR232W, 1505
YDR233C, 1324
YDR234W, 1525
YDR235W, 1514
YDR236C, 1552
YDR237W, 1540
YDR238C, 1364
YDR239C, 1423
YDR240C, 1591
YDR242W, 1524
YDR243C, 1421
YDR244W, 1261
YDR245W, 1401
YDR246W, 1423
YDR247W, 1589
YDR248C, 1516
YDR249C, 1426
YDR251W, 1328
YDR252W, 1450
YDR253C, 1474
YDR254W, 1562
YDR255C, 1479
YDR256C, 1441
YDR257C, 1555
YDR258C, 1435
YDR259C, 1490
YDR260C, 1508
YDR261C, 1500
YDR262W, 1424
YDR263C, 1345
YDR264C, 1450
YDR265W, 1497
YDR266C, 1399
YDR267C, 1396
YDR268W, 1423
YDR270W, 1434
YDR272W, 1614
YDR273W, 1468
YDR274C, 1456
YDR275W, 1618
YDR276C, 1409
YDR277C, 1340
YDR279W, 1371
YDR280W, 1372
YDR281C, 1462
YDR282C, 1468
YDR284C, 1518
YDR286C, 1513
YDR287W, 1495
YDR288W, 1376
YDR289C, 1481
YDR291W, 1479
YDR292C, 1475
YDR293C, 1456
YDR294C, 1301
YDR295C, 1497
YDR296W, 1553
YDR297W, 1215
YDR298C, 1554
YDR299W, 1415
YDR300C, 1452
YDR301W, 1434
YDR302W, 1494
YDR303C, 1538
YDR304C, 1553
YDR305C, 1439
YDR306C, 1479
YDR307W, 1555
YDR308C, 1500
YDR309C, 1275
YDR311W, 1356
YDR312W, 1618
YDR313C, 1470
YDR315C, 1294
YDR316W, 1561
YDR317W, 1506
YDR318W, 1512
YDR319C, 1673
YDR320C, 1397
YDR320C-A, 1475
YDR321W, 1402
YDR322W, 1534
YDR322C-A, 1419
YDR323C, 1402
YDR325W, 1397
YDR328C, 1284
YDR329C, 1451
YDR330W, 1422
YDR331W, 1486
YDR332W, 1360
YDR333C, 1511
YDR335W, 1274
YDR336W, 1586
YDR337W, 1366
YDR338C, 1328
YDR339C, 1430
YDR341C, 1345
YDR342C, 1343
YDR343C, 1343
YDR345C, 1381
YDR346C, 1382
YDR347W, 1470
YDR348C, 1447
YDR349C, 1633
YDR350C, 1522
YDR351W, 1462
YDR352W, 1373
YDR353W, 1377
YDR354W, 1422
YDR357C, 1456
YDR358W, 1479
YDR361C, 1451
YDR362C, 1405
YDR363W, 1358
YDR363W-A, 1271
YDR364C, 1323
YDR365C, 1338
YDR367W, 1411
YDR368W, 1299
YDR370C, 1342
YDR371W, 1416
YDR372C, 1595
YDR373W, 1344
YDR374W-A, 1432
YDR375C, 1503
YDR376W, 1483
YDR377W, 1457
YDR378C, 1232
YDR379W, 1343
YDR379C-A, 1465
YDR380W, 1427
YDR381W, 1401
YDR381C-A, 1428
YDR382W, 1476
YDR383C, 1471
YDR384C, 1302
YDR385W, 1463
YDR386W, 1491
YDR387C, 1441
YDR388W, 1381
YDR389W, 1396
YDR390C, 1438
YDR391C, 1455
YDR392W, 1628
YDR393W, 1536
YDR394W, 1395
YDR395W, 1413
YDR397C, 1284
YDR398W, 1404
YDR399W, 1498
YDR400W, 1481
YDR404C, 1519
YDR405W, 1426
YDR407C, 1527
YDR408C, 1324
YDR410C, 1623
YDR411C, 1430
YDR412W, 1462
YDR414C, 1389
YDR415C, 1546
YDR416W, 1362
YDR418W, 1480
YDR419W, 1589
YDR421W, 1325
YDR422C, 1299
YDR423C, 1436
YDR424C, 1399
YDR425W, 1546
YDR427W, 1525
YDR428C, 1369
YDR429C, 1425
YDR430C, 1584
YDR434W, 1454
YDR435C, 1590
YDR436W, 1353
YDR437W, 1724
YDR438W, 1465
YDR439W, 1475
YDR440W, 1329
YDR441C, 1436
YDR444W, 1560
YDR447C, 1510
YDR448W, 1449
YDR449C, 1600
YDR450W, 1403
YDR451C, 1425
YDR452W, 1396
YDR453C, 1376
YDR454C, 1322
YDR456W, 1427
YDR458C, 1518
YDR459C, 1594
YDR460W, 1595
YDR461W, 1281
YDR461C-A, 1410
YDR462W, 1535
YDR463W, 1441
YDR465C, 1437
YDR466W, 1540
YDR468C, 1487
YDR469W, 1465
YDR470C, 1373
YDR471W, 1342
YDR472W, 1396
YDR473C, 1485
YDR475C, 1510
YDR476C, 1471
YDR477W, 1329
YDR478W, 1562
YDR479C, 1554
YDR481C, 1454
YDR482C, 1319
YDR483W, 1526
YDR484W, 1440
YDR485C, 1346
YDR486C, 1506
YDR487C, 1480
YDR488C, 1638
YDR489W, 1440
YDR490C, 1409
YDR492W, 1542
YDR493W, 1434
YDR494W, 1538
YDR495C, 1441
YDR496C, 1367
YDR497C, 1438
YDR498C, 1472
YDR499W, 1477
YDR500C, 1344
YDR502C, 1455
YDR503C, 1467
YDR504C, 1494
YDR505C, 1344
YDR506C, 1460
YDR507C, 1279
YDR508C, 1490
YDR510W, 1416
YDR511W, 1572
YDR512C, 1517
YDR513W, 1483
YDR514C, 1412
YDR515W, 1426
YDR516C, 1468
YDR517W, 1527
YDR518W, 1445
YDR519W, 1604
YDR520C, 1313
YDR523C, 1514
YDR524C, 1540
YDR524C-B, 1405
YDR525W-A, 1613
YDR527W, 1426
YDR528W, 1391
YDR529C, 1429
YDR530C, 1561
YDR531W, 1530
YDR532C, 1366
YDR533C, 1363
YDR534C, 1332
YDR536W, 1459
YDR538W, 1510
YDR539W, 1553
YDR540C, 1591
YDR541C, 1244
YEL073C, 1338
YEL072W, 1342
YEL071W, 1318
YEL068C, 1383
YEL066W, 1486
YEL065W, 1344
YEL064C, 1464
YEL063C, 1431
YEL062W, 1480
YEL061C, 1383
YEL060C, 1445
YEL059C-A, 1437
YEL058W, 1548
YEL057C, 1426
YEL056W, 1468
YEL055C, 1506
YEL054C, 1480
YEL053C, 1329
YEL052W, 1392
YEL051W, 1444
YEL050C, 1338
YEL049W, 1268
YEL048C, 1444
YEL046C, 1546
YEL044W, 1262
YEL043W, 1309
YEL042W, 1564
YEL041W, 1440
YEL040W, 1441
YEL039C, 1331
YEL038W, 1470
YEL037C, 1521
YEL036C, 1593
YEL034W, 1475
YEL032W, 1265
YEL031W, 1403
YEL030W, 1494
YEL029C, 1431
YEL028W, 1492
YEL027W, 1449
YEL026W, 1351
YEL024W, 1373
YEL023C, 1553
YEL022W, 1474
YEL021W, 1434
YEL020W-A, 1471
YEL019C, 1378
YEL018W, 1440
YEL017C-A, 1297
YEL017W, 1547
YEL016C, 1512
YEL015W, 1377
YEL013W, 1312
YEL012W, 1488
YEL011W, 1400
YEL009C, 1464
YEL008W, 1553
YEL006W, 1415
YEL005C, 1367
YEL004W, 1458
YEL003W, 1543
YEL002C, 1658
YEL001C, 1507
YER001W, 1553
YER002W, 1585
YER003C, 1430
YER004W, 1224
YER005W, 1488
YER006W, 1652
YER007W, 1517
YER007C-A, 1616
YER008C, 1530
YER009W, 1432
YER010C, 1531
YER011W, 1378
YER012W, 1451
YER014W, 1488
YER015W, 1359
YER016W, 1316
YER017C, 1579
YER018C, 1377
YER019W, 1641
YER019C-A, 1249
YER020W, 1275
YER021W, 1349
YER022W, 1438
YER023W, 1321
YER025W, 1441
YER026C, 1446
YER027C, 1340
YER028C, 1602
YER029C, 1422
YER030W, 1514
YER031C, 1523
YER032W, 1365
YER034W, 1503
YER035W, 1353
YER036C, 1350
YER037W, 1553
YER038C, 1329
YER038W-A, 1543
YER039C, 1499
YER039C-A, 1578
YER040W, 1518
YER041W, 1516
YER042W, 1449
YER043C, 1372
YER044C, 1434
YER045C, 1489
YER046W, 1502
YER048C, 1582
YER048W-A, 1440
YER049W, 1455
YER050C, 1309
YER051W, 1495
YER052C, 1456
YER053C, 1537
YER053C-A, 1534
YER054C, 1542
YER055C, 1505
YER056C, 1489
YER056C-A, 1613
YER057C, 1385
YER058W, 1361
YER059W, 1288
YER060W, 1423
YER060W-A, 1430
YER061C, 1367
YER062C, 1367
YER063W, 1392
YER064C, 1481
YER065C, 1364
YER066W, 1444
YER067W, 1512
YER068W, 1519
YER069W, 1312
YER070W, 1623
YER071C, 1486
YER072W, 1379
YER073W, 1366
YER074W, 1456
YER074W-A, 1494
YER076C, 1481
YER077C, 1423
YER078C, 1548
YER078W-A, 1555
YER079W, 1354
YER080W, 1469
YER081W, 1441
YER082C, 1527
YER083C, 1528
YER085C, 1530
YER086W, 1383
YER087W, 1536
YER087C-B, 1293
YER088C, 1276
YER089C, 1365
YER090W, 1395
YER091C, 1383
YER092W, 1396
YER093C-A, 1610
YER094C, 1256
YER095W, 1494
YER096W, 1320
YER098W, 1609
YER099C, 1313
YER100W, 1463
YER101C, 1466
YER102W, 1521
YER103W, 1270
YER104W, 1488
YER105C, 1530
YER107C, 1470
YER110C, 1545
YER112W, 1455
YER113C, 1521
YER114C, 1427
YER115C, 1464
YER116C, 1506
YER117W, 1276
YER118C, 1395
YER119C, 1312
YER120W, 1339
YER121W, 1509
YER122C, 1380
YER123W, 1408
YER124C, 1568
YER125W, 1310
YER126C, 1594
YER127W, 1425
YER128W, 1472
YER130C, 1549
YER131W, 1437
YER133W, 1411
YER134C, 1365
