Gene name, Transcript overall mass
YBR149W, 1849
YBR151W, 2018
YBR153W, 1985
YBR154C, 2168
YBR155W, 1832
YBR156C, 2081
YBR157C, 2136
YBR158W, 1946
YBR159W, 2122
YBR160W, 1945
YBR161W, 1961
YBR162C, 1889
YBR162W-A, 1981
YBR163W, 1996
YBR164C, 1970
YBR165W, 2166
YBR166C, 2042
YBR167C, 2006
YBR168W, 2002
YBR169C, 1816
YBR170C, 2052
YBR171W, 2003
YBR172C, 1963
YBR173C, 1945
YBR175W, 1917
YBR176W, 2093
YBR177C, 2079
YBR179C, 2011
YBR181C, 1930
YBR182C-A, 2224
YBR183W, 1990
YBR185C, 1991
YBR187W, 1850
YBR188C, 2052
YBR189W, 2006
YBR191W, 2127
YBR192W, 2084
YBR193C, 1756
YBR194W, 2082
YBR195C, 1898
YBR196C, 1967
YBR196C-A, 2196
YBR197C, 1863
YBR198C, 1953
YBR199W, 2037
YBR200W, 1975
YBR201W, 1846
YBR201C-A, 1985
YBR202W, 1869
YBR203W, 1870
YBR204C, 1965
YBR207W, 2202
YBR209W, 2194
YBR210W, 1759
YBR212W, 1927
YBR213W, 2017
YBR214W, 1806
YBR215W, 1843
YBR216C, 2005
YBR217W, 2019
YBR218C, 1891
YBR220C, 1947
YBR221C, 1969
YBR222C, 1814
YBR223C, 2062
YBR227C, 1987
YBR228W, 2150
YBR229C, 2090
YBR230C, 1768
YBR230W-A, 2005
YBR231C, 2022
YBR233W, 1846
YBR233W-A, 2031
YBR234C, 1912
YBR235W, 2026
YBR236C, 2057
YBR237W, 2028
YBR238C, 1961
YBR239C, 1967
YBR241C, 1928
YBR242W, 1778
YBR243C, 2020
YBR244W, 2016
YBR246W, 1900
YBR247C, 1993
YBR248C, 1887
YBR249C, 1847
YBR251W, 2144
YBR252W, 1941
YBR253W, 2062
YBR254C, 1971
YBR255W, 2084
YBR255C-A, 1891
YBR256C, 1894
YBR257W, 2097
YBR258C, 2098
YBR259W, 1945
YBR260C, 1771
YBR261C, 1954
YBR262C, 1937
YBR263W, 1847
YBR264C, 1812
YBR265W, 1901
YBR267W, 1802
YBR268W, 1974
YBR269C, 2010
YBR270C, 1845
YBR271W, 2032
YBR272C, 2049
YBR273C, 1987
YBR274W, 1901
YBR276C, 1887
YBR278W, 1910
YBR279W, 2091
YBR280C, 1927
YBR281C, 1978
YBR282W, 1875
YBR283C, 1949
YBR285W, 2098
YBR286W, 1947
YBR287W, 2025
YBR288C, 2100
YBR289W, 1851
YBR290W, 1996
YBR291C, 1853
YBR296C, 2034
YBR297W, 2127
YBR298C, 2010
YBR299W, 2135
YCL064C, 2107
YCL063W, 1967
YCL059C, 2067
YCL058W-A, 1845
YCL057C-A, 1882
YCL057W, 2041
YCL056C, 1885
YCL055W, 2088
YCL054W, 1997
YCL052C, 2036
YCL051W, 1983
YCL050C, 1874
YCL049C, 1914
YCL047C, 2167
YCL045C, 2022
YCL044C, 1775
YCL043C, 1847
YCL040W, 1983
YCL039W, 1971
YCL038C, 1926
YCL037C, 1656
YCL036W, 1958
YCL035C, 1962
YCL034W, 1907
YCL033C, 2173
YCL032W, 1829
YCL031C, 1875
YCL030C, 1946
YCL029C, 2118
YCL028W, 1960
YCL027W, 1862
YCL026C-B, 1932
YCL026C-A, 1958
YCL025C, 1993
YCL021W-A, 1924
YCL018W, 1841
YCL017C, 1943
YCL016C, 1974
YCL012C, 2116
YCL011C, 2051
YCL010C, 1977
YCL009C, 1973
YCL008C, 1766
YCL005W-A, 1885
YCL005W, 1977
YCL004W, 2149
YCL002C, 1824
YCL001W, 1831
YCR002C, 1848
YCR003W, 1997
YCR004C, 1960
YCR005C, 1979
YCR006C, 2091
YCR007C, 1991
YCR008W, 1856
YCR009C, 1982
YCR010C, 1919
YCR011C, 2143
YCR012W, 1914
YCR015C, 2033
YCR016W, 2030
YCR017C, 1897
YCR019W, 1977
YCR020C, 1980
YCR020C-A, 1943
YCR020W-B, 1930
YCR021C, 1975
YCR022C, 2007
YCR023C, 2080
YCR024C, 2059
YCR024C-B, 2061
YCR024C-A, 1779
YCR025C, 1940
YCR026C, 2027
YCR027C, 1957
YCR028C, 2083
YCR028C-A, 2105
YCR030C, 2008
YCR031C, 1902
YCR034W, 1990
YCR035C, 1935
YCR036W, 1862
YCR037C, 2175
YCR043C, 1884
YCR044C, 1964
YCR046C, 2099
YCR047C, 2043
YCR048W, 2090
YCR051W, 1841
YCR052W, 1913
YCR053W, 1921
YCR054C, 2084
YCR057C, 2000
YCR059C, 2022
YCR060W, 2051
YCR061W, 1864
YCR063W, 1960
YCR065W, 1973
YCR066W, 1906
YCR067C, 1901
YCR068W, 2005
YCR069W, 2045
YCR071C, 1898
YCR072C, 1962
YCR073W-A, 2006
YCR075C, 1875
YCR075W-A, 1918
YCR076C, 1979
YCR077C, 1852
YCR079W, 1966
YCR082W, 1894
YCR083W, 2102
YCR084C, 1900
YCR086W, 2014
YCR087C-A, 1950
YCR088W, 2026
YCR090C, 1925
YCR091W, 2089
YCR092C, 1931
YCR094W, 1923
YCR095C, 1808
YCR095W-A, 2019
YCR097W, 1976
YCR098C, 2001
YCR099C, 2153
YCR102C, 1866
YCR106W, 2009
YDL243C, 1934
YDL241W, 1905
YDL240W, 1863
YDL238C, 2089
YDL237W, 1844
YDL236W, 1908
YDL235C, 1982
YDL234C, 2028
YDL233W, 1888
YDL232W, 1889
YDL230W, 2057
YDL229W, 1728
YDL227C, 1887
YDL226C, 2138
YDL225W, 1969
YDL224C, 2012
YDL222C, 2150
YDL220C, 2046
YDL219W, 1879
YDL218W, 2018
YDL217C, 1891
YDL216C, 2010
YDL215C, 1957
YDL213C, 2013
YDL212W, 1923
YDL211C, 1932
YDL209C, 2043
YDL208W, 2025
YDL207W, 2059
YDL206W, 2138
YDL205C, 1874
YDL204W, 1970
YDL203C, 2019
YDL202W, 2052
YDL201W, 1956
YDL200C, 2130
YDL199C, 1964
YDL198C, 1945
YDL197C, 1907
YDL195W, 2008
YDL193W, 1982
YDL192W, 1896
YDL191W, 1961
YDL190C, 1898
YDL189W, 1914
YDL188C, 1987
YDL186W, 1805
YDL185W, 1950
YDL184C, 2320
YDL183C, 1898
YDL182W, 1782
YDL181W, 1990
YDL180W, 2047
YDL179W, 2033
YDL178W, 1986
YDL177C, 1983
YDL176W, 1846
YDL175C, 1871
YDL174C, 2080
YDL170W, 2088
YDL169C, 1994
YDL168W, 1711
YDL167C, 2014
YDL166C, 1928
YDL165W, 1950
YDL164C, 1924
YDL161W, 1943
YDL160C-A, 1967
YDL160C, 1905
YDL159W, 2139
YDL157C, 1963
YDL156W, 2126
YDL155W, 1928
YDL153C, 1900
YDL150W, 1854
YDL149W, 2068
YDL148C, 1794
YDL147W, 1975
YDL146W, 1972
YDL145C, 2036
YDL144C, 1692
YDL143W, 1902
YDL142C, 1975
YDL141W, 1757
YDL139C, 2082
YDL138W, 2074
YDL137W, 1912
YDL136W, 1961
YDL135C, 2085
YDL134C, 1930
YDL133C-A, 2320
YDL133W, 1843
YDL131W, 1954
YDL130W-A, 2037
YDL130W, 1851
YDL129W, 2032
YDL128W, 1818
YDL127W, 2034
YDL126C, 1848
YDL125C, 1946
YDL124W, 2063
YDL123W, 1953
YDL122W, 2048
YDL121C, 2006
YDL120W, 1896
YDL119C, 1963
YDL117W, 1925
YDL116W, 2128
YDL115C, 1904
YDL113C, 1928
YDL112W, 1929
YDL111C, 1956
YDL110C, 1910
YDL108W, 2064
YDL107W, 1970
YDL106C, 2200
YDL105W, 1972
YDL104C, 1978
YDL103C, 1947
YDL101C, 1913
YDL100C, 1920
YDL099W, 2088
YDL098C, 2168
YDL097C, 1936
YDL095W, 2105
YDL093W, 1998
YDL092W, 1747
YDL091C, 2066
YDL090C, 2039
YDL089W, 1923
YDL088C, 1836
YDL087C, 1900
YDL086W, 1992
YDL085C-A, 2021
YDL085W, 1976
YDL084W, 2018
YDL083C, 1845
YDL082W, 2032
YDL081C, 1791
YDL080C, 2025
YDL079C, 2029
YDL078C, 1637
YDL076C, 2033
YDL075W, 1960
YDL074C, 1910
YDL073W, 1924
YDL072C, 2011
YDL070W, 1978
YDL069C, 1944
YDL067C, 1920
YDL066W, 2006
YDL065C, 2112
YDL064W, 2099
YDL063C, 1957
YDL061C, 2121
YDL059C, 1865
YDL057W, 1943
YDL056W, 1940
YDL055C, 1884
YDL054C, 2111
YDL053C, 1782
YDL052C, 2067
YDL051W, 2053
YDL049C, 1995
YDL048C, 1811
YDL047W, 2039
YDL046W, 2018
YDL045W-A, 1958
YDL045C, 1982
YDL044C, 2112
YDL043C, 1704
YDL042C, 1973
YDL040C, 1949
YDL036C, 2108
YDL035C, 1852
YDL033C, 1971
YDL031W, 2039
YDL030W, 2114
YDL029W, 1891
YDL028C, 2050
YDL027C, 1954
YDL025C, 1854
YDL024C, 1866
YDL022W, 1807
YDL021W, 1876
YDL020C, 1929
YDL019C, 1970
YDL018C, 2077
YDL017W, 1952
YDL015C, 1953
YDL014W, 1746
YDL013W, 1896
YDL012C, 1887
YDL010W, 1964
YDL008W, 2025
YDL007W, 1856
YDL006W, 2053
YDL005C, 1820
YDL004W, 1883
YDL003W, 1991
YDL002C, 2140
YDL001W, 1990
YDR001C, 1810
YDR002W, 1999
YDR003W, 2190
YDR003W-A, 1939
YDR005C, 2101
YDR006C, 1850
YDR007W, 1787
YDR009W, 1940
YDR010C, 2134
YDR011W, 1869
YDR012W, 1863
YDR013W, 1957
YDR014W-A, 2089
YDR016C, 1907
YDR018C, 2237
YDR019C, 2062
YDR020C, 2037
YDR021W, 2152
YDR022C, 2080
YDR023W, 1941
YDR025W, 2005
YDR026C, 1949
YDR027C, 1907
YDR028C, 1923
YDR030C, 2002
YDR031W, 1911
YDR032C, 1996
YDR033W, 1904
YDR034C, 2032
YDR034W-B, 2153
YDR035W, 2080
YDR036C, 2006
YDR037W, 1769
YDR041W, 2070
YDR042C, 2031
YDR043C, 2094
YDR044W, 2011
YDR045C, 1937
YDR046C, 1861
YDR047W, 1907
YDR049W, 1889
YDR050C, 1909
YDR051C, 1856
YDR052C, 1980
YDR054C, 1915
YDR055W, 1862
YDR056C, 1977
YDR057W, 1843
YDR058C, 1940
YDR059C, 1872
YDR060W, 1897
YDR061W, 1991
YDR062W, 1929
YDR063W, 2018
YDR064W, 1727
YDR065W, 1957
YDR066C, 1956
YDR067C, 1926
YDR068W, 2118
YDR069C, 2071
YDR070C, 2170
YDR071C, 1944
YDR072C, 2014
YDR073W, 1912
YDR074W, 2012
YDR075W, 1956
YDR076W, 1834
YDR077W, 1742
YDR078C, 2022
YDR079W, 2115
YDR079C-A, 1853
YDR080W, 1996
YDR081C, 2063
YDR082W, 1953
YDR083W, 1975
YDR084C, 2038
YDR085C, 1914
YDR086C, 1943
YDR087C, 2005
YDR088C, 2028
YDR089W, 2156
YDR090C, 1742
YDR091C, 1885
YDR092W, 2007
YDR096W, 1922
YDR097C, 1867
YDR098C, 2090
YDR099W, 1962
YDR100W, 1942
YDR101C, 1933
YDR103W, 1983
YDR104C, 1947
YDR105C, 1717
YDR106W, 1914
YDR107C, 2080
YDR108W, 2194
YDR109C, 2171
YDR110W, 2094
YDR111C, 1958
YDR113C, 2019
YDR115W, 2084
YDR116C, 1778
YDR117C, 2034
YDR119W, 2141
YDR119W-A, 1918
YDR120C, 2079
YDR121W, 1995
YDR123C, 1866
YDR124W, 2022
YDR126W, 2001
YDR127W, 1874
YDR129C, 2079
YDR130C, 1998
YDR131C, 2179
YDR132C, 1925
YDR135C, 1889
YDR137W, 2135
YDR138W, 1946
YDR139C, 1896
YDR140W, 2085
YDR142C, 2024
YDR143C, 1876
YDR144C, 1898
YDR145W, 1799
YDR146C, 1953
YDR147W, 1987
YDR148C, 1826
YDR151C, 1974
YDR152W, 2161
YDR153C, 1949
YDR155C, 1949
YDR156W, 1876
YDR158W, 1611
YDR161W, 1940
YDR162C, 1948
YDR163W, 1892
YDR164C, 2014
YDR165W, 1974
YDR166C, 2181
YDR167W, 2133
YDR168W, 2064
YDR169C, 1895
YDR171W, 2027
YDR172W, 2006
YDR173C, 2011
YDR174W, 1858
YDR175C, 1948
YDR176W, 1997
YDR177W, 2039
YDR178W, 2105
YDR179C, 2091
YDR179W-A, 1946
YDR180W, 1939
YDR181C, 1920
YDR182W, 2015
YDR182W-A, 2367
YDR183W, 2111
YDR184C, 1930
YDR185C, 2235
YDR186C, 1716
YDR188W, 2006
YDR189W, 1968
YDR190C, 1824
YDR191W, 1908
YDR192C, 1776
YDR194C, 1863
YDR195W, 1827
YDR196C, 1656
YDR197W, 1819
YDR198C, 1997
YDR200C, 2127
YDR201W, 1828
YDR202C, 1963
YDR204W, 1921
YDR205W, 1932
YDR207C, 2013
YDR208W, 1897
YDR210W, 2018
YDR211W, 1791
YDR212W, 2023
YDR213W, 1920
YDR214W, 2117
YDR215C, 2008
YDR219C, 2021
YDR221W, 2008
YDR222W, 1944
YDR223W, 1919
YDR224C, 1765
YDR225W, 1528
YDR226W, 1854
YDR227W, 1937
YDR228C, 2013
YDR229W, 1855
YDR231C, 2270
YDR232W, 1893
YDR233C, 1908
YDR234W, 2064
YDR235W, 2035
YDR236C, 2020
YDR237W, 2070
YDR238C, 1910
YDR239C, 2041
YDR240C, 2126
YDR242W, 2093
YDR243C, 1848
YDR244W, 1742
YDR245W, 1924
YDR246W, 1809
YDR247W, 2151
YDR248C, 2027
YDR249C, 2034
YDR251W, 1863
YDR252W, 1987
YDR253C, 1918
YDR254W, 2018
YDR255C, 2044
YDR256C, 1992
YDR257C, 2128
YDR258C, 2039
YDR259C, 2024
YDR260C, 2164
YDR261C, 2000
YDR262W, 2006
YDR263C, 1942
YDR264C, 1924
YDR265W, 2082
YDR266C, 1989
YDR267C, 2001
YDR268W, 2052
YDR270W, 1868
YDR272W, 1986
YDR273W, 1924
YDR274C, 1994
YDR275W, 2034
YDR276C, 1941
YDR277C, 1866
YDR279W, 1895
YDR280W, 1919
YDR281C, 1945
YDR282C, 1930
YDR284C, 1945
YDR286C, 2040
YDR287W, 2058
YDR288W, 1906
YDR289C, 1994
YDR291W, 1894
YDR292C, 1944
YDR293C, 1969
YDR294C, 1893
YDR295C, 2105
YDR296W, 2066
YDR297W, 1731
YDR298C, 2069
YDR299W, 1912
YDR300C, 1977
YDR301W, 1928
YDR302W, 2022
YDR303C, 1980
YDR304C, 2059
YDR305C, 1981
YDR306C, 2038
YDR307W, 2128
YDR308C, 2059
YDR309C, 1822
YDR311W, 1784
YDR312W, 2103
YDR313C, 2083
YDR315C, 1870
YDR316W, 2133
YDR317W, 2050
YDR318W, 2026
YDR319C, 2205
YDR320C, 1952
YDR320C-A, 2016
YDR321W, 1888
YDR322W, 2072
YDR322C-A, 1831
YDR323C, 2018
YDR325W, 1971
YDR328C, 1827
YDR329C, 2100
YDR330W, 1836
YDR331W, 2094
YDR332W, 1882
YDR333C, 1996
YDR335W, 1744
YDR336W, 2044
YDR337W, 1907
YDR338C, 1820
YDR339C, 1998
YDR341C, 1873
YDR342C, 1877
YDR343C, 1877
YDR345C, 1884
YDR346C, 1842
YDR347W, 2021
YDR348C, 1949
YDR349C, 2153
YDR350C, 2003
YDR351W, 1964
YDR352W, 1862
YDR353W, 1745
YDR354W, 1919
YDR357C, 1814
YDR358W, 2031
YDR361C, 2077
YDR362C, 1945
YDR363W, 1857
YDR363W-A, 1786
YDR364C, 1825
YDR365C, 1899
YDR367W, 1947
YDR368W, 1839
YDR370C, 1841
YDR371W, 1874
YDR372C, 1997
YDR373W, 1848
YDR374W-A, 1988
YDR375C, 2003
YDR376W, 2066
YDR377W, 1950
YDR378C, 1782
YDR379W, 1886
YDR379C-A, 1999
YDR380W, 2041
YDR381W, 1843
YDR381C-A, 2002
YDR382W, 1904
YDR383C, 2028
YDR384C, 1787
YDR385W, 2022
YDR386W, 2104
YDR387C, 1991
YDR388W, 1905
YDR389W, 1923
YDR390C, 1898
YDR391C, 1999
YDR392W, 2218
YDR393W, 2064
YDR394W, 1894
YDR395W, 1974
YDR397C, 1755
YDR398W, 1845
YDR399W, 2034
YDR400W, 1925
YDR404C, 2039
YDR405W, 1984
YDR407C, 1968
YDR408C, 1767
YDR410C, 2183
YDR411C, 1787
YDR412W, 1989
YDR414C, 1979
YDR415C, 2014
YDR416W, 1863
YDR418W, 2104
YDR419W, 2015
YDR421W, 1857
YDR422C, 1824
YDR423C, 1912
YDR424C, 1872
YDR425W, 2048
YDR427W, 2054
YDR428C, 1915
YDR429C, 1854
YDR430C, 2054
YDR434W, 2022
YDR435C, 2036
YDR436W, 1891
YDR437W, 2316
YDR438W, 1919
YDR439W, 2037
YDR440W, 1837
YDR441C, 1955
YDR444W, 2101
YDR447C, 1939
YDR448W, 1911
YDR449C, 2142
YDR450W, 1966
YDR451C, 1934
YDR452W, 1872
YDR453C, 1952
YDR454C, 1737
YDR456W, 1952
YDR458C, 2032
YDR459C, 2242
YDR460W, 2111
YDR461W, 1798
YDR461C-A, 1973
YDR462W, 2019
YDR463W, 1990
YDR465C, 2004
YDR466W, 2129
YDR468C, 2002
YDR469W, 1965
YDR470C, 1913
YDR471W, 1867
YDR472W, 1986
YDR473C, 2066
YDR475C, 2074
YDR476C, 2022
YDR477W, 1771
YDR478W, 2146
YDR479C, 2075
YDR481C, 1991
YDR482C, 1750
YDR483W, 2058
YDR484W, 2030
YDR485C, 1863
YDR486C, 2045
YDR487C, 2069
YDR488C, 2235
YDR489W, 1997
YDR490C, 1865
YDR492W, 2018
YDR493W, 1969
YDR494W, 2068
YDR495C, 1997
YDR496C, 1881
YDR497C, 1913
YDR498C, 1971
YDR499W, 2009
YDR500C, 1882
YDR502C, 1899
YDR503C, 2106
YDR504C, 2083
YDR505C, 1845
YDR506C, 1986
YDR507C, 1809
YDR508C, 1949
YDR510W, 1941
YDR511W, 2100
YDR512C, 2016
YDR513W, 1993
YDR514C, 1882
YDR515W, 1887
YDR516C, 1982
YDR517W, 2090
YDR518W, 1953
YDR519W, 2124
YDR520C, 1810
YDR523C, 1968
YDR524C, 2020
YDR524C-B, 1819
YDR525W-A, 2129
YDR527W, 1888
YDR528W, 1984
YDR529C, 1949
YDR530C, 2122
YDR531W, 2040
YDR532C, 1880
YDR533C, 1914
YDR534C, 1788
YDR536W, 2006
YDR538W, 2105
YDR539W, 2128
YDR540C, 2163
YDR541C, 1704
YEL073C, 1754
YEL072W, 1852
YEL071W, 1824
YEL068C, 1809
YEL066W, 2041
YEL065W, 1950
YEL064C, 2020
YEL063C, 2028
YEL062W, 2050
YEL061C, 1899
YEL060C, 1845
YEL059C-A, 1892
YEL058W, 2114
YEL057C, 1986
YEL056W, 2076
YEL055C, 1977
YEL054C, 2104
YEL053C, 1845
YEL052W, 1994
YEL051W, 2017
YEL050C, 1774
YEL049W, 1666
YEL048C, 1962
YEL046C, 1975
YEL044W, 1721
YEL043W, 1896
YEL042W, 2024
YEL041W, 1942
YEL040W, 1959
YEL039C, 1817
YEL038W, 1942
YEL037C, 2046
YEL036C, 2063
YEL034W, 1877
YEL032W, 1833
YEL031W, 1932
YEL030W, 2062
YEL029C, 1959
YEL028W, 2020
YEL027W, 1909
YEL026W, 1751
YEL024W, 1948
YEL023C, 2052
YEL022W, 1972
YEL021W, 1928
YEL020W-A, 2045
YEL019C, 1896
YEL018W, 2003
YEL017C-A, 1841
YEL017W, 2046
YEL016C, 2069
YEL015W, 1934
YEL013W, 1786
YEL012W, 2031
YEL011W, 1962
YEL009C, 1935
YEL008W, 2051
YEL006W, 1930
YEL005C, 1996
YEL004W, 1894
YEL003W, 2184
YEL002C, 2155
YEL001C, 1977
YER001W, 2137
YER002W, 1987
YER003C, 2084
YER004W, 1570
YER005W, 2000
YER006W, 2153
YER007W, 2013
YER007C-A, 2146
YER008C, 2069
YER009W, 2027
YER010C, 2035
YER011W, 1818
YER012W, 1935
YER014W, 1929
YER015W, 1875
YER016W, 1901
YER017C, 2104
YER018C, 2007
YER019W, 2241
YER019C-A, 1803
YER020W, 1747
YER021W, 1751
YER022W, 1914
YER023W, 1808
YER025W, 1910
YER026C, 2028
YER027C, 1858
YER028C, 2187
YER029C, 1905
YER030W, 2058
YER031C, 2096
YER032W, 1827
YER034W, 2106
YER035W, 1866
YER036C, 1864
YER037W, 2136
YER038C, 1877
YER038W-A, 2071
YER039C, 1951
YER039C-A, 2021
YER040W, 2045
YER041W, 2089
YER042W, 1932
YER043C, 1872
YER044C, 1949
YER045C, 2023
YER046W, 1984
YER048C, 2049
YER048W-A, 1924
YER049W, 2054
YER050C, 1913
YER051W, 2037
YER052C, 2014
YER053C, 2114
YER053C-A, 2084
YER054C, 2174
YER055C, 2021
YER056C, 2046
YER056C-A, 2160
YER057C, 1783
YER058W, 1849
YER059W, 1719
YER060W, 2000
YER060W-A, 1929
YER061C, 1839
YER062C, 1794
YER063W, 1933
YER064C, 1939
YER065C, 1838
YER066W, 2063
YER067W, 2013
YER068W, 2026
YER069W, 1838
YER070W, 2166
YER071C, 1961
YER072W, 1877
YER073W, 1941
YER074W, 1941
YER074W-A, 2004
YER076C, 2013
YER077C, 1952
YER078C, 2069
YER078W-A, 2080
YER079W, 1798
YER080W, 1998
YER081W, 2017
YER082C, 2125
YER083C, 2111
YER085C, 2045
YER086W, 1910
YER087W, 2142
YER087C-B, 1835
YER088C, 1798
YER089C, 1918
YER090W, 1910
YER091C, 1836
YER092W, 1994
YER093C-A, 2178
YER094C, 1728
YER095W, 2022
YER096W, 1852
YER098W, 2130
YER099C, 1820
YER100W, 2083
YER101C, 1979
YER102W, 1909
YER103W, 1796
YER104W, 2028
YER105C, 2165
YER107C, 1884
YER110C, 2039
YER112W, 1971
YER113C, 2021
YER114C, 1955
YER115C, 1937
YER116C, 1991
YER117W, 1817
YER118C, 1935
YER119C, 1848
YER120W, 1888
YER121W, 2034
YER122C, 1911
YER123W, 1964
YER124C, 2184
YER125W, 1782
YER126C, 2116
YER127W, 1868
YER128W, 2031
YER130C, 2050
YER131W, 1978
YER133W, 1980
YER134C, 1929
